Start,Finish,Distance (mi),Steps (count)
13-Jul-2017 00:00,14-Jul-2017 00:00,1.45153553249038,3789.0
14-Jul-2017 00:00,15-Jul-2017 00:00,2.29046120655699,5216.0
15-Jul-2017 00:00,16-Jul-2017 00:00,2.88744979320558,6203.0
16-Jul-2017 00:00,17-Jul-2017 00:00,2.12786079296831,4653.0
17-Jul-2017 00:00,18-Jul-2017 00:00,3.40435246614015,7424.0
18-Jul-2017 00:00,19-Jul-2017 00:00,3.66868115207156,7873.0
19-Jul-2017 00:00,20-Jul-2017 00:00,3.02138013998543,6131.0
20-Jul-2017 00:00,21-Jul-2017 00:00,1.94824867678012,4176.0
21-Jul-2017 00:00,22-Jul-2017 00:00,2.34811052461015,5141.0
22-Jul-2017 00:00,23-Jul-2017 00:00,0.0,0.0
23-Jul-2017 00:00,24-Jul-2017 00:00,0.036232154219249,84.0
24-Jul-2017 00:00,25-Jul-2017 00:00,2.01409394138117,4107.0
25-Jul-2017 00:00,26-Jul-2017 00:00,1.75664742901487,4078.0
26-Jul-2017 00:00,27-Jul-2017 00:00,1.79887581523872,3858.0
27-Jul-2017 00:00,28-Jul-2017 00:00,1.72403165513188,3850.0
28-Jul-2017 00:00,29-Jul-2017 00:00,2.33278901216908,4881.0
29-Jul-2017 00:00,30-Jul-2017 00:00,4.08670648373751,10685.0
30-Jul-2017 00:00,31-Jul-2017 00:00,0.0,0.0
31-Jul-2017 00:00,01-Aug-2017 00:00,1.59624045574009,3588.0
01-Aug-2017 00:00,02-Aug-2017 00:00,1.44822983774904,3136.0
02-Aug-2017 00:00,03-Aug-2017 00:00,3.26653593017056,6774.0
03-Aug-2017 00:00,04-Aug-2017 00:00,1.87164459556148,3843.0
04-Aug-2017 00:00,05-Aug-2017 00:00,1.67768357790422,3762.0
05-Aug-2017 00:00,06-Aug-2017 00:00,0.988477292611252,2258.0
06-Aug-2017 00:00,07-Aug-2017 00:00,0.818613360797696,1851.6535072139
07-Aug-2017 00:00,08-Aug-2017 00:00,0.268612241683795,667.346492786103
08-Aug-2017 00:00,09-Aug-2017 00:00,1.87147061162887,3885.0
09-Aug-2017 00:00,10-Aug-2017 00:00,3.36801205957473,7315.0
10-Aug-2017 00:00,11-Aug-2017 00:00,2.04936297025394,4220.0
11-Aug-2017 00:00,12-Aug-2017 00:00,3.18051951602369,6748.0
12-Aug-2017 00:00,13-Aug-2017 00:00,1.00454595164185,2221.0
13-Aug-2017 00:00,14-Aug-2017 00:00,0.0304409747076289,69.0
14-Aug-2017 00:00,15-Aug-2017 00:00,2.07340382168034,4283.0
15-Aug-2017 00:00,16-Aug-2017 00:00,1.23875091547082,2933.0
16-Aug-2017 00:00,17-Aug-2017 00:00,2.24333345882465,4693.0
17-Aug-2017 00:00,18-Aug-2017 00:00,1.95648576307064,4584.0
18-Aug-2017 00:00,19-Aug-2017 00:00,1.49076269585375,3636.0
19-Aug-2017 00:00,20-Aug-2017 00:00,1.9251695100611,4238.0
20-Aug-2017 00:00,21-Aug-2017 00:00,2.45384454784051,5379.0
21-Aug-2017 00:00,22-Aug-2017 00:00,2.83135861568281,6715.0
22-Aug-2017 00:00,23-Aug-2017 00:00,2.33900893780519,6215.0
23-Aug-2017 00:00,24-Aug-2017 00:00,1.44175514992497,3496.0
24-Aug-2017 00:00,25-Aug-2017 00:00,3.08028612900667,7054.0
25-Aug-2017 00:00,26-Aug-2017 00:00,1.70592489859116,3867.0
26-Aug-2017 00:00,27-Aug-2017 00:00,0.843356050664338,1833.0
27-Aug-2017 00:00,28-Aug-2017 00:00,0.685043098306889,1482.0
28-Aug-2017 00:00,29-Aug-2017 00:00,1.5485191481758,3837.0
29-Aug-2017 00:00,30-Aug-2017 00:00,1.77411418675519,4139.0
30-Aug-2017 00:00,31-Aug-2017 00:00,1.28344219756809,3202.0
31-Aug-2017 00:00,01-Sep-2017 00:00,1.50016404199491,3683.0
01-Sep-2017 00:00,02-Sep-2017 00:00,1.65295300445503,3825.0
02-Sep-2017 00:00,03-Sep-2017 00:00,0.274795196055033,623.0
03-Sep-2017 00:00,04-Sep-2017 00:00,0.0307765151514602,78.0
04-Sep-2017 00:00,05-Sep-2017 00:00,3.23712524618115,8809.0
05-Sep-2017 00:00,06-Sep-2017 00:00,1.86521961743449,4076.0
06-Sep-2017 00:00,07-Sep-2017 00:00,5.66251217887287,11908.0
07-Sep-2017 00:00,08-Sep-2017 00:00,5.25032748946196,11609.0
